DBT1,DBT99,WHITE,BLACK,ASIAN,MIXED,OTHER_RACE,SDESCENT,OVER65,LIVESALONE,LARGEHOUSE,POVERTY,UNEMPLOYED,HIGHSCHOOL,RENT,ELPAY,NGPAY,LPGPAY,FOPAY,APARTMENT,MOBILE,YEARMADERANGE,THERMALMASS.WALL,THERMALMASS.ROOF,ADQINSUL,DRAFTY,WWR,TYPEGLASS,COOLTYPE,EQUIPM,HVAC_OPERATION,HVAC_MAINTENANCE,NUMFANS,OFFGRID,TEMPMA
88.4,3.4,0,0,1,0,0,0,0,0,0,0,-1,0,0,1,1,0,0,0,0,1999,0,0,3,0,3.3333333333333335,1,1,1,0,0,5,0,0
91.5,12,1,0,0,0,0,0,0,0,1,0,-0,0,0,1,1,0,0,0,0,1979,0.013,0.069,2,1,1.4285714285714286,2,0.5,1,0,0,6,0,0
98.2,33.7,1,0,0,0,0,1,0,0,0,0,-1,1,1,1,0,0,0,1,0,1959,0.013,0.013,2,0,0.75,1,0,1,0,0,4,0,0
82.3,39,0,0,1,0,0,0,0,0,0,0,-1,0,0,1,1,0,0,0,0,1969,0.024,0.013,2,1,1,2,0,1,0,0,2,0,0
88.3,12,1,0,0,0,0,0,1,1,0,0,-0,0,1,1,0,0,0,0,0,1979,0.143,0.069,1,1,0.6,1,1,1,0,0,1,0,0
93.1,31.8,1,0,0,0,0,0,0,0,0,0,-1,0,1,1,1,0,0,0,0,1950,0.013,0.001,1,1,2.857142857142857,1,1,1,1,0,6,0,0
88.3,9.5,1,0,0,0,0,0,1,1,0,1,-0,0,0,1,1,0,0,0,0,1999,0.004,0.069,2,0,2,1,1,1,0,0,3,0,0
88,27.3,1,0,0,0,0,0,1,0,0,1,-0,1,0,1,0,0,0,0,0,1999,0.004,0.069,2,0,1.5,2,0.5,1,0,0,1,0,0
87.8,6.3,1,0,0,0,0,0,0,0,0,0,-1,0,0,1,1,0,0,0,0,1959,0.143,0.069,2,1,2.6666666666666665,1,1,1,0,0,1,0,0
84.2,0.2,1,0,0,0,0,0,0,0,0,0,-1,0,0,1,1,0,0,0,0,2015,0.004,0.069,2,1,0.75,2,1,1,1,0,4,1,0
91.1,15.7,1,0,0,0,0,0,0,0,0,1,-0.5,0,0,1,0,1,0,0,0,1950,0.004,0.069,2,1,3.2,2,0.5,1,0,0,4,1,0
90.2,1.3,1,0,0,0,0,0,0,1,0,1,-0,0,0,1,1,0,0,0,0,1950,0.004,0.069,1,0,2.5,1,0.5,1,0,0,5,0,0
91.4,27.8,0,1,0,0,0,0,0,0,0,1,-1,0,0,1,1,0,0,0,0,1969,0,0.013,2,2,2,1,1,1,0,0,3,0,0
95.1,14.2,1,0,0,0,0,1,0,0,0,1,-1,1,0,1,1,0,0,0,1,1979,0.004,0.001,1,0,3.3333333333333335,2,0.5,1,1,1,3,0,1
91.2,32.3,1,0,0,0,0,0,0,0,0,1,-1,0,0,1,0,0,0,0,0,1979,0.004,0.001,2,1,1.4285714285714286,1,1,1,0,0,4,0,0
83.4,24.5,1,0,0,0,0,0,1,0,0,0,-0,0,0,1,0,1,0,0,0,1999,0,0,3,0,2.142857142857143,2,0.5,1,0,0,3,0,0
92.5,24.9,1,0,0,0,0,0,1,1,0,1,-0,1,0,1,0,1,0,0,1,2009,0.004,0.001,2,1,1.2,2,1,1,1,0,3,0,0
72.4,30.5,1,0,0,0,0,0,1,1,0,1,-0,1,0,1,0,1,0,0,0,2009,0,0,3,0,3.2,2,0,1,0,0,3,0,0
86.1,7.9,1,0,0,0,0,0,0,1,0,1,-0,1,1,0,0,0,0,0,0,1959,0.013,0.069,2,1,1.2,1,0,1,1,0,2,0,0
87.5,29.5,1,0,0,0,0,0,0,0,0,0,-0.5,0,1,1,0,0,0,1,0,2015,0.004,0,1,2,0.8571428571428571,2,0,1,0,0,5,0,0
97.4,39.7,0,0,1,0,0,0,0,0,0,0,-0,0,0,1,1,0,0,0,0,2009,0,0,3,0,2.727272727272727,2,1,1,0,0,2,1,0
90.5,42.5,0,0,0,1,0,0,1,0,0,0,-0,0,0,1,1,0,0,0,0,1999,0.024,0.069,2,1,1.6666666666666667,1,1,1,0,0,5,1,0
91.3,17.9,0,1,0,0,0,0,0,0,0,1,-0,0,1,1,1,0,0,0,0,1959,0.143,0.008,2,1,1.1111111111111112,1,0.5,1,1,0,0,0,0
86.5,6.9,1,0,0,0,0,0,0,0,0,0,-1,0,0,1,1,0,0,0,0,2009,0,0,3,1,2.2222222222222223,2,1,1,0,0,2,0,0
91.1,16.6,1,0,0,0,0,0,0,0,0,0,-1,1,0,1,1,0,0,0,0,1950,0,0.069,2,0,2.2222222222222223,2,0.5,1,0,0,9,0,0
88.3,9.2,1,0,0,0,0,0,1,1,0,0,-0,0,0,1,1,0,0,0,0,1999,0.143,0.069,2,0,1,1,1,1,0,0,2,0,0
91.4,25.4,1,0,0,0,0,0,0,0,0,0,-1,0,0,1,1,0,0,0,0,1999,0.013,0.069,2,1,1.5384615384615385,2,1,1,0,0,9,0,0
92.5,24.9,0,0,0,1,0,0,1,0,0,1,-0,0,0,1,0,0,0,0,0,1969,0.004,0.001,2,0,1.1111111111111112,2,1,1,0,0,5,0,0
