DBT1,DBT99,WHITE,BLACK,SDESCENT,OVER65,LIVESALONE,POVERTY,EMPLOYHH,HIGHSCHOOL,RENT,APARTMENT,MOBILE,YEARMADERANGE,THERMALMASS.ROOF,ADQINSUL,DRAFTY,WWR,TYPEGLASS,COOLTYPE,HVAC_OPERATION,HVAC_MAINTENANCE,NUMFANS,OFFGRID,TEMPMA
0.5605214152700185,0.34252669039145905,1,0,0,0,1,1,0.5,0,1,0,0,0,1,0.3333333333333333,1,0.05268490374873354,0,0.5,0,0,0.29411764705882354,0,0
0.6983240223463687,0.5338078291814946,0,0,0,0,0,0,0,0,0,0,0,0.2714285714285714,0.18840579710144925,0.3333333333333333,0.6666666666666666,0.05268490374873354,0,0.5,1,0,0.11764705882352941,0,0
0.7728119180633146,0.7019572953736655,0,0,0,1,1,1,0,0,1,1,0,0.2714285714285714,0,0.6666666666666666,0,0.04711246200607903,0,0,0,0,0,0,0
0.5251396648044693,0.44839857651245546,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0.05268490374873354,0.5,1,0,0,0.23529411764705882,0,0
0.5232774674115455,0.3834519572953737,1,0,0,1,0,0,0,1,0,0,0,0.12857142857142856,0,0.6666666666666666,0,0.022036474164133738,0.5,1,0,0,0.11764705882352941,0,0
0.5549348230912476,0.48843416370106757,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0.3333333333333333,0.0924880590534086,0,1,0,0,0.23529411764705882,0,0
0.6815642458100557,0.5106761565836299,1,0,1,0,0,0,1,1,0,0,0,0.12857142857142856,0,1,0.3333333333333333,0.06382978723404255,0.5,0.5,0,0,0,0,0
0.6517690875232774,0.6379003558718861,0,1,0,0,0,1,1,0,1,0,0,0.4142857142857143,0,0.6666666666666666,0.3333333333333333,0.017021276595744678,0.5,1,1,0,0,0,0
0.4916201117318434,0.4822064056939502,0,1,0,0,0,1,1,1,0,0,0,0.8428571428571429,0,1,0,0.03708206686930091,0.5,1,1,0,0,0,1
0.7486033519553073,0.6930604982206405,1,0,1,0,0,0,0.5,0,1,1,0,0.5571428571428572,0,1,0,0.0303951367781155,0.5,1,0,0,0.058823529411764705,0,0
0.6219739292364989,0.4777580071174377,1,0,0,0,0,0,1,1,1,0,0,0.8428571428571429,0,1,0,0.0712597095575819,0.5,1,0,0,0.29411764705882354,0,0
0.64804469273743,0.6209964412811387,1,0,0,0,0,0,0,0,0,0,0,0.8428571428571429,0,1,0,0.05268490374873354,0.5,1,0,0,0.17647058823529413,0,0
0.4562383612662942,0.3976868327402135,1,0,0,1,0,1,0.5,1,0,0,0,0.5571428571428572,0.18840579710144925,0.3333333333333333,0.6666666666666666,0.05268490374873354,0,0.5,1,0,0.23529411764705882,0,1
0.633147113594041,0.5088967971530249,1,0,1,0,0,0,1,0,1,0,0,0,1,0.3333333333333333,0.3333333333333333,0.08054711246200608,0,1,1,0,0.11764705882352941,0,0
0.7392923649906891,0.6619217081850534,1,0,0,0,0,0,1,0,0,0,0,0.8428571428571429,0,1,0,0.06382978723404255,0.5,1,0,0,0.23529411764705882,0,0
0.4618249534450651,0.6325622775800711,1,0,0,0,0,1,1,0,1,0,0,0.7,0,1,0,0.04472427268779853,0.5,0,1,1,0,1,0
0.664804469273743,0.7153024911032029,1,0,0,0,0,0,0,0,0,0,0,0.5571428571428572,0,0.6666666666666666,0,0.0712597095575819,0.5,1,0,0,0.35294117647058826,0,0
0.728119180633147,0.5676156583629892,1,0,0,1,0,0,1,1,0,0,0,0.7,0,1,0,0.12234042553191489,1,1,0,0,0.29411764705882354,0,0
0.536312849162011,0.4279359430604982,0,1,0,0,1,1,1,0,1,1,0,0.5571428571428572,0,0.6666666666666666,0.3333333333333333,0.013677811550151974,0,0.5,0,0,0.17647058823529413,0,0
0.6461824953445066,0.5711743772241993,1,0,0,0,0,0,1,1,0,0,0,0.5571428571428572,0,1,0.3333333333333333,0.05639986491050321,0.5,1,0,0,0,0,0
0.5716945996275605,0.4297153024911032,0,0,0,0,0,0,1,0,0,0,0,0.7,0,1,0,0.10840932117527863,0,1,0,0,0.29411764705882354,0,0
0.6294227188081936,0.5062277580071174,1,0,0,0,0,0,0,0,0,0,0,0.4142857142857143,0,0.6666666666666666,0.3333333333333333,0.04472427268779853,0.5,0.5,0,0,0.35294117647058826,0,0
0.7541899441340781,0.6992882562277579,1,0,1,0,0,0,1,1,1,1,0,0.12857142857142856,0,0.6666666666666666,0,0.022036474164133738,0,0,0,0,0.23529411764705882,0,0
