CDD30YR,CDD65,HDD30YR,HDD65,DBT1,DBT99,HOUSEHOLDER_RACE,SDESCENT,NONWHITE,HHAGE,OVER65,NHSLDMEM,LIVESALONE,LARGEHOUSE,EDUCATION,HIGHSCHOOL,EMPLOYHH,MONEYPY,POVERTY,KOWNRENT,ELPAY,NGPAY,UATYP10,ECOREGION,TYPEHUQ,APARTMENT,YEARMADERANGE,TOTROOMS,SWIMPOOL,WALLTYPE,ROOFTYPE,THERMALMASS,ADQINSUL,DRAFTY,WINDOWS,WINFRAME,TYPEGLASS,AIRCOND,HEATHOME,COOLTYPE,EQUIPM,ACEQUIPAGE,EQUIPAGE,NOAC,NOHEAT,NUMCFAN,NUMFLOORFAN,BACKUP,SOLAR,YEAR,TEMPMA
1608,1867,3388,2994,91.2,24.9,Black,0,1,57,0,2,0,0,3,0,0.5,20000,1,Own,1,0,0,Eastern.Temperate.Forests,SF.Detached,0,1950,8,0,Siding,Singles,0,3,0,16,Vinyl,1,1,1,Both,Wood.Stove,15,20,0,0,3,1,1,0,2015,0
1869,2021,2899,2479,92.8,26.5,Black,1,1,38,0,6,0,0,4,0,0,40000,1,Own,1,0,0,Eastern.Temperate.Forests,Mobile,0,1999,7,0,Siding,Metal,0,1,1,10,Metal,2,1,1,Window.Wall,Portable.Electric,5,0,0,0,0,1,0,0,2015,0
619,814,6850,6203,88.2,0.5,Mixed.Race,0,1,41,0,1,1,0,3,0,1,20000,1,Own,1,1,1,Eastern.Temperate.Forests,Mobile,0,1979,6,0,Siding,Metal,0,2,0,6,Metal,1,1,1,Central.Air,Central.Furnace,10,15,0,1,2,0,0,0,2015,0
1449,1842,4353,3956,91.3,17.9,White,0,0,58,0,5,0,0,5,0,1,120000,0,Own,1,0,1,Eastern.Temperate.Forests,SF.Detached,0,1989,17,0,Siding,Singles,0,2,1,6,Metal,1,1,1,Central.Air,Heat.Pump,0,0,0,0,5,1,0,0,2015,0
163,392,7995,6348,88.5,10.3,White,0,0,66,1,2,0,0,3,0,0,20000,1,Own,1,0,0,North.American.Deserts,Mobile,0,1999,3,0,Siding,Metal,0,3,1,10,Vinyl,2,1,1,Both,Other,10,5,1,0,1,0,1,0,2015,0
497,755,6324,5801,87.7,10.4,White,0,0,22,0,5,0,0,3,0,0,140000,0,Own,1,1,1,Eastern.Temperate.Forests,SF.Detached,0,1969,11,1,Shingle,Ceramic.Tiles,1,3,0,20,Vinyl,2,1,1,Central.Air,Central.Furnace,5,10,0,0,1,5,0,0,2015,0
2195,2486,2291,1916,98.6,32.8,White,1,1,44,0,4,0,0,3,0,0.5,40000,1,Rent,1,1,0.5,Northwestern.Forested.Mountains,SF.Detached,0,1989,7,0,Wood,Singles,0,2,1,6,Metal,1,0,1,Swamp,BuiltIn.Gas,-2,20,1,1,1,4,0,0,2015,0
1629,1909,3065,2665,91.4,25.4,White,0,0,49,0,2,0,0,4,0,1,140000,0,Own,1,1,1,Eastern.Temperate.Forests,SF.Detached,0,1979,11,0,Siding,Wood.Shingle,0,2,0,30,Wood,1,1,1,Central.Air,Central.Furnace,2,2,0,0,4,1,0,0,2015,0
1176,1638,2619,1994,97.2,33.9,White,0,0,80,1,1,1,0,3,0,0,60000,0,Own,1,0,0,Northwestern.Forested.Mountains,SF.Detached,0,1969,7,0,Stucco,Singles,0,3,0,10,Metal,2,1,1,Central.Air,Central.Furnace,20,5,0,0,2,0,0,0,2015,0
751,875,6477,6004,90.2,4.8,White,1,1,24,0,2,0,0,4,0,1,60000,0,Rent,1,1,1,Eastern.Temperate.Forests,Apt.High,1,1969,5,0,Brick,No.Roof,1,3,0,10,Vinyl,2,1,1,Central.Air,Central.Furnace,0,0,0,0,0,1,0,0,2015,0
499,349,8337,8342,85.4,-17.2,White,0,0,53,0,2,0,0,3,0,1,40000,0,Own,1,1,0,Northern.Forests,SF.Detached,0,1979,7,0,Siding,Singles,0,3,0,10,Metal,2,1,1,Central.Air,Central.Furnace,2,10,0,0,2,0,1,0,2015,0
3137,3415,1492,1389,97.2,32.7,White,1,1,55,0,3,0,0,3,0,1,40000,0,Own,1,1,1,Great.Plains,SF.Detached,0,1979,6,0,Siding,Singles,0,2,1,16,Metal,1,1,1,Central.Air,Central.Furnace,10,10,0,0,6,0,0,0,2015,0
2538,2920,1674,1302,93.4,29.9,White,0,0,39,0,5,0,0,5,0,0,20000,1,Rent,1,0,0,Eastern.Temperate.Forests,Mobile,0,1999,5,0,Siding,Singles,0,1,0,10,Metal,2,1,1,Central.Air,Central.Furnace,10,15,0,0,3,0,0,0,2015,0
814,910,5422,5911,84.4,15.8,White,1,1,30,0,5,1,0,2,1,0.5,0,1,Rent,1,1,1,Eastern.Temperate.Forests,Apt.Low,1,1950,5,0,Brick,Singles,1,3,0,6,Metal,1,1,1,Window.Wall,Central.Furnace,0,10,0,0,0,2,0,0,2015,0
860,864,5318,5615,88.3,12,White,0,0,76,1,1,1,0,2,1,0,0,1,Own,1,1,1,Eastern.Temperate.Forests,SF.Detached,0,1979,8,0,Brick,Singles,1,2,1,20,Vinyl,2,1,1,Central.Air,Steam.HW,20,5,0,0,3,0,0,0,2015,0
1239,1567,4632,4502,82.1,13.6,White,0,0,62,0,2,0,0,2,1,1,60000,0,Rent,1,1,1,Eastern.Temperate.Forests,Apt.High,1,1950,6,0,Brick,No.Roof,1,3,0,10,Metal,2,1,1,Window.Wall,Steam.HW,5,20,0,0,3,3,0,0,2015,0
762,720,6832,6304,88,-2.8,White,1,1,54,0,2,0,0,3,0,0,140000,0,Own,1,1,1,Great.Plains,SF.Detached,0,2009,6,0,Siding,Metal,0,2,0,10,Vinyl,3,1,1,Central.Air,Central.Furnace,15,15,0,0,1,0,1,0,2015,0
1371,2686,1531,865,97.1,41.1,White,0,0,85,1,2,0,0,4,0,0,20000,1,Rent,1,1,1,Northwestern.Forested.Mountains,SF.Detached,0,1950,3,0,Stucco,Singles,0,2,0,6,Metal,1,1,0,Window.Wall,None,10,-2,0,1,0,3,0,0,2015,0
1441,1580,4544,4076,91.7,12.3,White,1,1,61,0,2,0,0,2,1,0,20000,1,Own,1,1,1,Great.Plains,SF.Detached,0,1979,7,0,Wood,Singles,0,2,1,10,Metal,1,1,1,Central.Air,Central.Furnace,2,20,0,0,5,3,0,0,2015,0
944,915,5176,5571,90.1,15.7,White,0,0,45,0,4,0,0,5,0,1,140000,0,Own,1,1,1,Eastern.Temperate.Forests,SF.Detached,0,1979,9,0,Stone,Singles,1,2,0,16,Vinyl,2,1,1,Both,Heat.Pump,5,0,0,0,3,2,1,1,2015,0
1038,1421,4809,4595,81.8,13,White,1,1,57,0,1,1,0,5,0,1,100000,0,Rent,1,0,1,Eastern.Temperate.Forests,Apt.High,1,1989,3,0,Siding,No.Roof,0,2,1,6,Metal,2,1,1,Window.Wall,Central.Furnace,0,0,0,0,0,1,0,0,2015,0
4138,5013,1030,713,106.8,35.3,White,1,1,27,0,4,0,0,3,0,0.5,0,1,Own,1,1,1,North.American.Deserts,SF.Detached,0,1950,6,0,Brick,Singles,1,3,0,6,Wood,1,1,1,Central.Air,Central.Furnace,15,20,0,0,5,1,0,0,2015,0
466,1105,1547,882,81.3,45.2,White,0,0,26,0,2,0,0,4,0,1,140000,0,Rent,1,1,1,Northwestern.Forested.Mountains,Apt.High,1,1969,1,0,Stucco,No.Roof,0,2,0,3,Metal,1,0,0,None,None,-2,-2,0,0,1,1,0,0,2015,0
134,282,5205,4550,83.4,24.5,White,0,0,39,0,3,1,0,3,0,1,40000,1,Rent,1,1,0.5,Marine.West.Coast.Forest,SF.Attached,0,1999,8,0,Siding,Singles,0,1,1,6,Vinyl,2,0,1,None,BuiltIn.Electric,-2,15,0,0,1,0,0,0,2015,0
2618,3802,2231,1951,97.5,27.2,White,0,0,30,0,2,0,0,5,0,1,60000,0,Rent,1,0,1,Eastern.Temperate.Forests,Apt.High,1,1999,5,0,Stucco,No.Roof,0,2,0,3,Metal,1,1,1,Central.Air,Central.Furnace,15,15,0,0,3,0,0,0,2015,0
381,358,8819,8306,84.2,-12.9,White,0,0,77,1,2,0,0,3,0,0.5,20000,1,Rent,1,1,0.5,Northern.Forests,SF.Detached,0,1979,6,0,Siding,Singles,0,1,1,6,Composite,2,1,1,Central.Air,Central.Furnace,10,10,0,0,3,0,1,0,2015,0
1218,1604,4650,4478,81.8,13,Black,0,1,39,0,2,0,0,2,1,0,0,1,Rent,0,0,1,Eastern.Temperate.Forests,Apt.High,1,1950,6,0,Brick,No.Roof,1,1,3,3,Metal,2,1,1,Window.Wall,Steam.HW,10,20,0,0,1,1,0,0,2015,0
162,285,2655,1997,78.1,41.4,White,0,0,47,0,4,0,0,5,0,0.5,140000,0,Own,1,1,1,Mediterranean.California,SF.Attached,0,1950,10,0,Wood,Singles,0,3,0,20,Metal,2,0,1,None,Steam.HW,-2,5,0,0,0,0,0,0,2015,0
1147,1268,4334,3942,92.5,16.2,White,0,0,65,0,2,0,0,3,0,0,40000,0,Own,1,1,0,Great.Plains,SF.Detached,0,2009,5,0,Siding,Singles,0,3,0,20,Metal,2,1,1,Central.Air,Central.Furnace,10,10,0,0,4,0,1,0,2015,0
447,815,4108,3460,87.5,29.5,White,0,0,53,0,1,1,0,2,1,1,20000,1,Own,1,1,1,Marine.West.Coast.Forest,SF.Detached,0,1959,10,0,Brick,Singles,1,2,0,10,Metal,1,0,1,Swamp,Central.Furnace,-2,0,0,0,0,2,0,0,2015,0
591,740,6908,6334,89.5,0.3,White,0,0,21,0,2,0,0,2,1,0.5,80000,0,Rent,0,0,0.5,Eastern.Temperate.Forests,SF.Detached,0,1950,5,0,Siding,Singles,0,2,0,16,Wood,1,1,1,Central.Air,Central.Furnace,2,2,0,0,1,0,0,0,2015,0
1055,2232,1272,654,90.6,42.8,White,0,0,49,0,2,0,0,3,0,1,80000,0,Rent,1,1,1,Northwestern.Forested.Mountains,Apt.High,1,1989,3,0,Concrete,No.Roof,1,2,0,3,Metal,2,1,0,Central.Air,None,2,-2,0,0,0,0,0,0,2015,0
2873,3111,1544,1340,93.1,31.8,White,0,0,73,1,1,1,0,2,1,1,0,1,Own,1,0,0,Great.Plains,Mobile,0,2009,7,0,Brick,Singles,1,3,0,6,Wood,2,1,1,Central.Air,Central.Furnace,5,5,0,0,2,0,1,0,2015,0
1206,2152,1997,1104,97.4,36.4,White,0,0,42,0,5,0,0,5,0,0,140000,0,Own,1,1,0,Northwestern.Forested.Mountains,SF.Detached,0,2015,10,1,Siding,Singles,0,3,1,20,Wood,2,1,1,Central.Air,BuiltIn.Electric,2,2,0,0,6,0,0,0,2015,0
