bootstrap,input_features,variable,coef
67,All,MOBILE,0.1278132978086791
67,All,YEARMADERANGE,0.06434889547434366
67,All,THERMALMASS.ROOF,0.31603545170667247
67,All,ADQINSUL,-0.23820824043238908
67,All,DRAFTY,0.8394766112934523
67,All,WWR,0.3784794571139021
67,All,TYPEGLASS,-0.20676612572443087
67,All,COOLTYPE,-0.41473832237962055
67,All,HVAC_OPERATION,2.0571725367182183
67,All,HVAC_MAINTENANCE,1.3470906851191564
67,All,NUMFANS,0.07439011944380415
67,All,OFFGRID,-0.061511767359821376
42,Baseline,(Intercept),-0.7744916001709081
42,Baseline,DBT1,0.4824137246698061
42,Baseline,DBT99,0.4486101005277169
42,Baseline,WHITE,-0.754600339734406
42,Baseline,BLACK,0.16465397462534592
42,Baseline,SDESCENT,0.7445816091541799
42,Baseline,OVER65,-0.3869165860863284
42,Baseline,LIVESALONE,-0.5130319290310148
42,Baseline,HIGHSCHOOL,0.29454333914957714
42,Baseline,EMPLOYHH,-0.43512894336377894
42,Baseline,POVERTY,0.9403674170793277
42,Baseline,RENT,0.7405973290990114
42,All,(Intercept),-1.4465635167855966
42,All,DBT1,0.418027968799489
42,All,DBT99,-0.18704490701183635
42,All,WHITE,-0.46248624041185105
42,All,BLACK,0.06666107217892811
42,All,SDESCENT,0.5061035414976971
42,All,OVER65,-0.2192070194767586
42,All,LIVESALONE,-0.3195613477473125
42,All,POVERTY,0.5416031539306856
42,All,EMPLOYHH,-0.19725963581606967
42,All,HIGHSCHOOL,0.23617167430629435
42,All,RENT,0.4859073851951596
42,All,APARTMENT,0.12751592548070878
42,All,MOBILE,-0.09420218917747766
42,All,YEARMADERANGE,0.019821370336676216
42,All,THERMALMASS.ROOF,0.4077493878393529
42,All,ADQINSUL,-0.2550479473770569
42,All,DRAFTY,0.8901623924298377
42,All,WWR,0.3491056104130668
42,All,TYPEGLASS,-0.3766114835566568
42,All,COOLTYPE,-0.3433099097662711
42,All,HVAC_OPERATION,2.0409509302415665
42,All,HVAC_MAINTENANCE,1.228875230378077
42,All,NUMFANS,0.3258374542109136
42,All,OFFGRID,0.052939811577180404
50,Baseline,(Intercept),-0.8759246769506703
50,Baseline,DBT1,-0.006245529936168908
50,Baseline,DBT99,0.8859122933902792
50,Baseline,WHITE,-0.6685557447604864
50,Baseline,BLACK,0.33392686367667396
50,Baseline,SDESCENT,0.8461223533127036
50,Baseline,OVER65,-0.36345921846096674
50,Baseline,LIVESALONE,-0.23923240730989542
50,Baseline,HIGHSCHOOL,0.19663070076610542
50,Baseline,EMPLOYHH,-0.4305506472244197
50,Baseline,POVERTY,0.9860408150018148
50,Baseline,RENT,0.6469740242388917
50,All,(Intercept),-1.574187814767187
50,All,DBT1,-0.01795935583443094
50,All,DBT99,0.1545431918143807
50,All,WHITE,-0.45149425960590495
50,All,BLACK,0.19219050911476085
50,All,SDESCENT,0.6671381259435043
50,All,OVER65,-0.15334752201967583
50,All,LIVESALONE,-0.05664376237211485
50,All,POVERTY,0.5373687514702903
50,All,EMPLOYHH,-0.28488643502688693
50,All,HIGHSCHOOL,0.14543214545502778
50,All,RENT,0.4359387144090453
50,All,APARTMENT,0.038721107815608426
50,All,MOBILE,0.12029734164111727
50,All,YEARMADERANGE,0.1443576006535115
50,All,THERMALMASS.ROOF,0.39466734414948484
50,All,ADQINSUL,-0.17827590246655217
50,All,DRAFTY,0.8888665274984103
50,All,WWR,0.7429613830477312
50,All,TYPEGLASS,-0.2691451268663938
50,All,COOLTYPE,-0.2787678462170954
50,All,HVAC_OPERATION,1.9531245746296684
50,All,HVAC_MAINTENANCE,1.220649870700961
50,All,NUMFANS,0.24991442729702756
50,All,OFFGRID,0.09889441760785256
43,Baseline,(Intercept),-1.138809577366959
43,Baseline,DBT1,0.8626092926978587
43,Baseline,DBT99,0.5647967904472843
43,Baseline,WHITE,-0.7204454248264144
43,Baseline,BLACK,0.2917684391038792
43,Baseline,SDESCENT,0.8557599931142306
43,Baseline,OVER65,-0.3790785526616456
43,Baseline,LIVESALONE,-0.31339742840517243
43,Baseline,HIGHSCHOOL,0.14897740410607532
43,Baseline,EMPLOYHH,-0.38901250115222685
43,Baseline,POVERTY,0.9275864772662853
43,Baseline,RENT,0.7170540814112645
43,All,(Intercept),-1.9974659471271372
43,All,DBT1,0.779437304225912
